"center","left","right","steering","x","x1","velocity"
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_311.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_311.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_311.jpg,-0.1,1,0,30.18826
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_383.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_383.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_383.jpg,-0.25,1,0,30.17591
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_461.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_461.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_461.jpg,0,1,0,30.1898
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_531.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_531.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_531.jpg,0,1,0,30.18996
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_600.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_600.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_600.jpg,0,1,0,30.19032
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_676.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_676.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_676.jpg,0,1,0,30.19044
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_748.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_748.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_748.jpg,-0.05,1,0,30.19012
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_829.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_829.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_829.jpg,-0.25,1,0,30.17605
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_899.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_899.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_899.jpg,-0.45,1,0,30.15226
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_14_59_974.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_14_59_974.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_14_59_974.jpg,-0.6500001,1,0,30.12845
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_045.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_045.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_045.jpg,-0.8000001,1,0,30.11185
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_114.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_114.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_114.jpg,0,1,0,30.17872
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_192.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_192.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_192.jpg,0,1,0,30.18844
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_268.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_268.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_268.jpg,0,1,0,30.18962
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_348.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_348.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_348.jpg,0,1,0,30.19049
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_420.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_420.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_420.jpg,0,1,0,30.18946
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_499.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_499.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_499.jpg,0,1,0,30.19016
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_574.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_574.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_574.jpg,0.15,1,0,30.18396
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_649.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_649.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_649.jpg,0.3,1,0,30.16905
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_728.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_728.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_728.jpg,0,1,0,30.1898
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_811.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_811.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_811.jpg,0,1,0,30.18988
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_879.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_879.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_879.jpg,0,1,0,30.1902
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_00_961.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_00_961.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_00_961.jpg,0,1,0,30.1903
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_032.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_032.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_032.jpg,0,1,0,30.18963
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_109.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_109.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_109.jpg,0,1,0,30.19033
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_179.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_179.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_179.jpg,0,1,0,30.19031
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_259.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_259.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_259.jpg,0,1,0,30.19032
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_331.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_331.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_331.jpg,0,1,0,30.19029
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_410.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_410.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_410.jpg,0,1,0,30.1903
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_488.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_488.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_488.jpg,0,1,0,30.19028
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_566.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_566.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_566.jpg,0,1,0,30.19018
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_641.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_641.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_641.jpg,0,1,0,30.1902
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_711.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_711.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_711.jpg,0,1,0,30.19038
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_787.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_787.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_787.jpg,0,1,0,30.18827
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_863.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_863.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_863.jpg,0,1,0,30.19104
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_01_941.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_01_941.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_01_941.jpg,-0.1,1,0,30.18736
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_020.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_020.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_020.jpg,-0.3,1,0,30.17006
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_097.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_097.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_097.jpg,0,1,0,30.19034
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_174.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_174.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_174.jpg,0,1,0,30.18999
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_258.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_258.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_258.jpg,0,1,0,30.19023
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_327.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_327.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_327.jpg,-0.15,1,0,30.18508
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_398.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_398.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_398.jpg,0,1,0,30.18491
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_469.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_469.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_469.jpg,0,1,0,30.18986
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_543.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_543.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_543.jpg,0,1,0,30.19016
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_612.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_612.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_612.jpg,-0.1,1,0,30.18858
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_682.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_682.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_682.jpg,-0.25,1,0,30.17614
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_759.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_759.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_759.jpg,0,1,0,30.18874
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_829.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_829.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_829.jpg,0,1,0,30.19004
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_900.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_900.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_900.jpg,0,1,0,30.19025
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_02_972.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_02_972.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_02_972.jpg,0,1,0,30.18995
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_044.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_044.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_044.jpg,-0.15,1,0,30.18486
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_114.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_114.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_114.jpg,0,1,0,30.18485
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_190.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_190.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_190.jpg,0,1,0,30.1899
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_262.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_262.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_262.jpg,0,1,0,30.19018
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_334.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_334.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_334.jpg,-0.15,1,0,30.18557
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_407.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_407.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_407.jpg,-0.3,1,0,30.17079
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_475.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_475.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_475.jpg,0,1,0,30.18986
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_544.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_544.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_544.jpg,0,1,0,30.19011
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_626.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_626.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_626.jpg,-0.15,1,0,30.18585
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_694.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_694.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_694.jpg,-0.35,1,0,30.16522
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_768.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_768.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_768.jpg,0,1,0,30.18844
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_838.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_838.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_838.jpg,0,1,0,30.19001
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_905.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_905.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_905.jpg,0,1,0,30.19021
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_03_975.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_03_975.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_03_975.jpg,-0.1,1,0,30.18886
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_04_043.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_04_043.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_04_043.jpg,-0.25,1,0,30.176
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_04_124.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_04_124.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_04_124.jpg,0,1,0,30.18894
C:\python\keras\self_driving\beta_simulator_windows\data\IMG\center_2018_11_27_21_15_04_197.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\left_2018_11_27_21_15_04_197.jpg,C:\python\keras\self_driving\beta_simulator_windows\data\IMG\right_2018_11_27_21_15_04_197.jpg,0,1,0,30.19011
